,0
2008,37081000
2009,54342300
2010,51847700
2011,57325600
2012,62885200
2013,9658550
2014,63002300
2015,50426100
2016,29973500
2017,49855300
2018,152186000
2019,5910060
2020,19233000
2021,61608400
2022,24075900
2023,49368100
2024,110560000
2025,54072300
2026,74453296
2027,40282900
2028,36663600
2029,123182000
2030,35498800
2031,38351700
2032,60948600
2033,165768000
2034,280140000
2035,46425400
2036,33503000
2037,54870500
2038,51849200
2039,102360000
2040,13714500
2041,55198800
2042,32884800
2043,56263600
2044,121335000
2045,30627500
2046,22316000
2047,1197830016
2048,75066200
2049,48422500
2050,22362600
2051,21361500
2052,394951008
2053,44938100
2054,1235760000
2055,47231300
2056,18442500
2057,67290400
2058,23918900
2059,126732000
2060,72649696
2061,19556200
2062,130237000
2063,36753300
2064,35925200
2065,52098500
2066,38740700
2067,26220500
2068,13063900
2069,57853200
2070,233108992
2071,22381600
2072,121326000
2073,249728992
2074,117834000
2075,67695800
2076,7380340
2077,227548992
2078,143366000
2079,43409600
2080,96433000
2081,70275904
2082,76651000
2083,189800000
2084,30953500
2085,8309190
2086,29762600
2087,116025000
2088,38239000
2089,185371008
2090,294310016
2091,106979000
2092,40865000
2093,54026100
2094,27528800
2095,125729000
2096,105957000
2097,113424000
2098,49014000
2099,45108500
2100,60602300
2101,13406000
2102,128614000
2103,63958800
2104,35446300
2105,784628992
2106,271683008
2107,917772992
2108,69355104
2109,227472000
2110,122840000
2111,229070000
2112,188400992
2113,29991500
2114,1727299968
2115,16974200
2116,129780000
2117,49025300
2118,39900000
2119,294880992
2120,116534000
2121,183910000
2122,13912200
2123,7482840
2124,208548000
2125,19607800
2126,78351104
2127,13758000
2128,42943400
2129,27159100
2130,56309500
2131,48136900
2132,41166000
2133,4473200
